timestamp,cpu_r,load_1,load_5,mem_u,total_mem,disk_q,disk_r,disk_w,disk_u,eth1_fi,eth1_fo,in_errs,tcp_timeouts
0,0.032258,0.039195,0.027871,0.915385,0.0,0.020011,0.000122,0.060266,0.027397,0.062195,0.041221,0.0,4.5e-05
1,0.043011,0.048729,0.033445,0.915385,0.0,0.01916,0.001722,0.054029,0.027397,0.051131,0.036651,0.0,4.5e-05
2,0.043011,0.034958,0.03233,0.915385,0.0,0.020011,0.000122,0.057157,0.027397,0.047139,0.03594,0.0,4.5e-05
3,0.032258,0.028602,0.0301,0.912821,0.0,0.021289,0.0,0.058962,0.013699,0.055012,0.038168,0.0,2.2e-05
4,0.032258,0.019068,0.026756,0.912821,0.0,0.018734,0.0,0.047945,0.013699,0.05017,0.037274,0.0,3.4e-05
5,0.043011,0.007415,0.021182,0.917949,0.0,0.01916,0.0,0.046351,0.027397,0.059053,0.038151,0.0,3.4e-05
6,0.043011,0.014831,0.018952,0.917949,0.0,0.020011,0.000366,0.064643,0.027397,0.058351,0.038195,0.0,3.4e-05
7,0.043011,0.019068,0.018952,0.915385,0.0,0.017882,0.000122,0.043274,0.013699,0.061296,0.038072,0.0,2.2e-05
8,0.043011,0.025424,0.021182,0.915385,0.0,0.014334,0.0,0.036817,0.013699,0.051981,0.038002,0.0,2.2e-05
9,0.043011,0.026483,0.022297,0.915385,0.0,0.018734,0.0,0.047137,0.013699,0.055493,0.038002,0.0,3.4e-05
10,0.043011,0.01589,0.018952,0.912821,0.0,0.018734,0.0,0.044233,0.013699,0.060088,0.039905,0.0,2.2e-05
11,0.043011,0.021186,0.018952,0.912821,0.0,0.018166,0.000611,0.042709,0.027397,0.056404,0.03666,0.0,3.4e-05
12,0.043011,0.033898,0.022297,0.912821,0.0,0.019018,0.0,0.048175,0.013699,0.056934,0.038107,0.0,3.4e-05
13,0.043011,0.018008,0.017837,0.912821,0.0,0.018166,0.0,0.046893,0.013699,0.057107,0.036791,0.0,3.4e-05
14,0.032258,0.006356,0.013378,0.912821,0.0,0.017173,0.0,0.042723,0.013699,0.049763,0.036326,0.0,4.5e-05
15,0.043011,0.021186,0.015608,0.912821,0.0,0.017599,0.0,0.038893,0.013699,0.058511,0.0388,0.0,1.1e-05
16,0.043011,0.034958,0.020067,0.912821,0.0,0.016605,0.0,0.027676,0.013699,0.053842,0.038396,0.0,3.4e-05
17,0.043011,0.016949,0.016722,0.907692,0.0,0.017031,0.0,0.040441,0.013699,0.056873,0.039081,0.0,4.5e-05
18,0.032258,0.013771,0.014493,0.910256,0.0,0.014618,0.0,0.034942,0.013699,0.055394,0.035651,0.0,2.2e-05
19,0.032258,0.029661,0.018952,0.912821,0.0,0.017599,0.0,0.039824,0.027397,0.054174,0.03916,0.0,4.5e-05
20,0.021505,0.055085,0.024526,0.912821,0.0,0.015896,0.0,0.04053,0.013699,0.051562,0.03437,0.0,2.2e-05
21,0.032258,0.036017,0.024526,0.912821,0.0,0.016747,0.0,0.037584,0.027397,0.059916,0.037721,0.0,3.4e-05
22,0.032258,0.023305,0.022297,0.912821,0.0,0.018308,0.0,0.040763,0.013699,0.051106,0.034958,0.0,3.4e-05
23,0.032258,0.034958,0.024526,0.912821,0.0,0.015186,0.0,0.041371,0.013699,0.057575,0.036431,0.0,3.4e-05
24,0.032258,0.043432,0.0301,0.910256,0.0,0.017031,0.0,0.041876,0.027397,0.056084,0.039256,0.0,1.1e-05
25,0.032258,0.034958,0.027871,0.912821,0.0,0.015896,0.0,0.038776,0.041096,0.043468,0.03337,0.0,4.5e-05
26,0.032258,0.023305,0.026756,0.912821,0.0,0.01476,0.0,0.037921,0.013699,0.059361,0.03823,0.0,1.1e-05
27,0.032258,0.032839,0.027871,0.912821,0.0,0.016037,0.0,0.033731,0.013699,0.04709,0.033265,0.0,3.4e-05
28,0.043011,0.032839,0.026756,0.910256,0.0,0.013909,0.0,0.035555,0.013699,0.070499,0.038309,0.0,3.4e-05
29,0.032258,0.029661,0.026756,0.912821,0.0,0.017599,0.0,0.048787,0.013699,0.047509,0.033686,0.0,3.4e-05
30,0.043011,0.027542,0.026756,0.912821,0.0,0.016037,0.0,0.042199,0.013699,0.058844,0.035651,0.0,1.1e-05
31,0.032258,0.013771,0.022297,0.912821,0.0,0.014902,0.0,0.038524,0.013699,0.051969,0.034361,0.0,5.6e-05
32,0.043011,0.01589,0.021182,0.910256,0.0,0.014334,0.0,0.041161,0.013699,0.050232,0.034598,0.0,2.2e-05
33,0.043011,0.067797,0.035674,0.912821,0.0,0.015044,0.0,0.044415,0.013699,0.049209,0.032642,0.0,3.4e-05
34,0.032258,0.051907,0.036789,0.912821,0.0,0.014192,0.0,0.038692,0.013699,0.052203,0.033817,0.0,2.2e-05
35,0.032258,0.040254,0.035674,0.912821,0.0,0.01476,0.0,0.039272,0.013699,0.041644,0.032107,0.0,4.5e-05
36,0.032258,0.029661,0.03233,0.912821,0.0,0.011638,0.000122,0.020377,0.013699,0.046646,0.032659,0.0,2.2e-05
37,0.032258,0.010593,0.024526,0.910256,0.0,0.013625,0.0,0.03548,0.013699,0.053447,0.035563,0.0,4.5e-05
38,0.032258,0.021186,0.024526,0.910256,0.0,0.013909,0.0,0.045196,0.013699,0.049037,0.032387,0.0,3.4e-05
39,0.032258,0.113347,0.047938,0.910256,0.0,0.01547,0.0,0.038393,0.013699,0.045562,0.03201,0.0,4.5e-05
40,0.043011,0.058263,0.043478,0.910256,0.0,0.012773,0.0,0.038136,0.013699,0.05309,0.034861,0.0,1.1e-05
41,0.032258,0.076271,0.052397,0.907692,0.0,0.013483,0.0,0.03757,0.013699,0.047792,0.032598,0.0,2.2e-05
42,0.043011,0.083686,0.060201,0.907692,0.0,0.01547,0.0,0.041297,0.013699,0.047484,0.033589,0.0,1.1e-05
43,0.032258,0.048729,0.054627,0.910256,0.0,0.013483,0.0,0.043401,0.013699,0.050737,0.033651,0.0,2.2e-05
